pt-br,en
Ela logo esqueceu o pobre sapo.,She soon forgot about the poor frog.
Eles deixaram Tom esperançoso.,They left Tom hopeful.
Por que você não faz exatamente o que lhe pedem?,Why don't you just do as you're told?
Por que você não faz exatamente o que lhe mandam fazer?,Why don't you just do as you're told?
Por que você não faz exatamente o que lhe é pedido?,Why don't you just do as you're told?
Ela ainda não chegou.,She still hasn't arrived.
O Tom encheu o balde com areia.,Tom filled his bucket with sand.
Eu varri o pátio.,I swept the yard.
Ele está lendo.,He's reading.
Foi exatamente aqui que aconteceu.,This is exactly where it happened.
O que acontecerá com o Tom se for achado culpado?,What'll happen to Tom if he's found guilty?
Ela é musicóloga.,She's a musicologist.
Meu carro está ali.,My car's over there.
Não quero ficar em seu caminho.,I don't want to get in the way.
"Logo, eu deveria tentar fazer isso, não?","So, I should try to do that, right?"
Eu acho melhor eu tentar fazer isso.,I guess it's best I try to do this.
Elas são qual prostitutas.,They're like prostitutes.
Morre Tory.,Tory dies.
A árvore foi serrada em pedaços.,The tree was sawn in pieces.
"Eu corro, corro e corro.","I run, run, and run."
"Eu corro, corro e corro.",I just run.
Quase não dormi.,I almost didn't sleep.
Dormi pouco.,I didn't sleep so much.
Eu não tentarei fazer isso.,I won't try to do it.
Tom pediu água mineral.,Tom ordered mineral water.
Aí está o que eu esqueci.,Here's the one I forgot.
Isso não é o porquê de você estar aqui.,That's not why you're here.
Ele é muito protetor dele.,He's very protective of him.
Tom completou 13 anos.,Tom turned 13.
O Tom não me conhece.,Tom doesn't know me.
"Eu te amo, Millie!","I love you, Millie!"
Tom e sua família sobreviveram ao terremoto.,Tom and his family survived the earthquake.
Isso não vai mudar nada.,That won't change a thing.
Essa é a única maneira.,That's the only way.
Ela é a única filha deles.,She's their only daughter.
Ela voltou do hospital.,She returned from the hospital.
Apenas conversamos.,We just had a talk.
Apenas tivemos uma conversa.,We just had a talk.
Deixe-me falar com o Tom.,Let me talk with Tom.
O Tom falou com a Mary?,Did Tom talk to Mary?
Podemos falar com o Tom?,Can we talk with Tom?
Vamos conversar sobre o quê?,What'll we talk about?
Tom vai falar com Mary.,Tom will talk to Mary.
Falei com o Tom de novo.,I talked to Tom again.
Eu falei com o Tom de novo.,I talked to Tom again.
Você pode falar comigo um minuto?,Can we talk for a sec?
Eu não vejo sangue.,I don't see blood.
Posso ficar e te ajudar?,Can I stay and help?
Eu moro e trabalho aqui.,I live and work here.
"Eu não frequentei escola, estudei em casa.",I'm homeschooled.
É esse o plano?,Is that the plan?
Eu nunca contei isso a ninguém.,I've never told this to anyone.
"Era só você ter me pedido, que eu teria feito.","If you'd just asked me, I would've done it."
Éramos fazendeiros.,We were farmers.
Minha esposa está muito feliz!,My wife is so happy!
Nós estávamos lidando com assuntos muito complicados.,We were dealing with very complicated issues.
Eu te falei que não irei.,I told you I'm not going.
Tom nos disse que te encontraríamos lá.,Tom told us we'd find you here.
Você não acha que deveria tê-lo dito ao Tom?,Don't you think you should've told Tom?
Tom acabou de aparecer para o trabalho.,Tom just showed up for work.
Não envie pelo celular mensagens escritas quando estiver dirigindo.,Don't text and drive.
Vou certamente sentir falta dela.,I'll certainly miss her.
"Vou ter saudade dela, com certeza.",I'll certainly miss her.
Eu não quero voltar sozinho.,I don't want to go back alone.
Não irei dizer isso novamente.,I won't say it again.
Não gosto de quem você se tornou.,I don't like who you've become.
Eu não gosto da pessoa em que você se transformou.,I don't like who you've become.
Os meninos não gostam de garotas que falam muito.,Boys don't like girls who talk too much.
Diga-me que você está brincando!,Tell me you're joking!
Agora você o arruinou.,Now you've ruined it.
"Finalmente, ela chegou!","Finally, she arrived!"
Finalmente ela está aqui.,Finally she's here.
"Você fala alemão, não é?","You speak German, don't you?"
"Vocês falam alemão, não é?","You speak German, don't you?"
"Você fala alemão, não fala?","You speak German, don't you?"
"Vocês falam alemão, não falam?","You speak German, don't you?"
Ele é um lobo solitário.,He's a lone wolf.
Estão começando a acreditar em sua própria fraude.,They start believing their own con.
Ela escorregou.,She slipped.
Para ela a carreira política terminou.,Her political career has ended.
Eles trabalham demais.,They work too much.
Elas trabalham demais.,They work too much.
Eles não vão encontrá-lo.,They won't find it.
O Tom suportou a dor estoicamente.,Tom bore the pain stoically.
A Internet falou.,The Internet has spoken.
Todos os assentos no metrô estão ocupados.,Every seat in this tube is taken.
Saí da clínica sem pagar ao dentista.,I walked out of the clinic without paying my dentist.
"Está bem, mamãe, já entendi!","Alright, mom, I get it!"
"Está bem, Tom, já entendi!","Alright, Tom, I get it!"
A história dela é verídica.,Her story is true.
Eu sou apenas um cara normal.,I'm just an average guy.
Eu sou apenas uma garota normal.,I'm just an average girl.
Estou muito nervoso por você!,I'm so excited for you!
As professoras ordenaram-lhes que parassem de lutar.,The teachers ordered them to stop fighting.
É porque você é mulher.,It's because you're a girl.
É porque você é homem.,It's because you're a guy.
Cuidado para não escorregar nos ladrilhos molhados.,Mind you don't slip on the wet tiles.
Isso é tudo que eu sei.,That's all I know.
O servidor está fora do ar novamente.,The server is down again.
O servidor caiu novamente.,The server is down again.
Saudações do Brasil!,Greetings from Brazil!
Não me divirto assim há anos!,I haven't had this much fun in years!
Não me entenda mal.,Don't get me wrong.
Sem ressentimentos.,No hard feelings.
Tanto faz!,It's all the same!
Tanto faz!,Whatever!
"Olá, minha amiga!","Hi, my friend!"
Ele vai mostrar-lhes os documentos.,He's going to show them the documents.
"Olá, minha amiga!","Hello, my friend!"
Espalhe o amor.,Spread the love.
Tom não viu nada.,Tom saw nothing at all.
Eu sou rico.,I'm rich.
"Você tem razão, eu acho.","You're right, I think."
Precisamos de ajuda aqui.,We need help here.
Apenas estávamos tentando ajudar.,We were only trying to help.
Achávamos que você poderia ajudar.,We thought you could help.
Sabemos que você é um amigo de Tom.,We know you're Tom's friend.
Nós sabemos que você é um amigo de Tom.,We know you're Tom's friend.
Nós tentamos lutar.,We tried to fight.
Enviamos uma cópia para o Tom.,We sent Tom a copy.
Sabíamos que você viria.,We knew you'd come.
Chegamos muito perto.,We got too close.
Jogamos isso longe.,We threw it away.
Fizemos o que você pediu.,We did what you asked.
Essa é uma cidade muito pequena.,It's a very small town.
Esse é um grande passo.,It's a big step.
Não gosto de aranhas e cobras.,I don't like spiders and snakes.
De quem são essas coisas?,Whose stuff is this?
Isso pode ficar pior?,Can this get any worse?
Eu posso voltar a trabalhar?,Can I get back to work?
Você pode esperar um segundo?,Can you hold on a sec?
Nós podemos pagar tudo isso?,Can we afford all this?
Podemos pegar a estrada?,Can we hit the road?
Não posso ir com você?,Can't I come with you?
Eu não posso ir com você?,Can't I come with you?
Você não pode parar o Tom?,Can't you stop Tom?
Vocês não podem parar o Tom?,Can't you stop Tom?
Você não pode apenas consertar isso?,Can't you just fix it?
Vocês não podem apenas consertar isso?,Can't you just fix it?
Não podemos quebrar isso?,Can't we break it?
Será que não podemos quebrar isso?,Can't we break it?
Eu não posso entrar?,Can't I come in?
Eu não posso simplesmente fugir?,Can't I just run away?
Eu sempre odiei Tom.,I've always hated Tom.
Espero que o Tom esteja errado.,I hope Tom's wrong.
Eu espero que o Tom esteja errado.,I hope Tom's wrong.
Eu trabalho duro.,I'm hard working.
Eu não sou feio.,I'm not ugly.
Não sou feio.,I'm not ugly.
Sentirei saudades do Tom também.,"I'll miss Tom, too."
Eu sentirei saudades do Tom também.,"I'll miss Tom, too."
Eu vou assinar amanhã.,I'll sign it tomorrow.
Nunca perdoarei o Tom.,I'll never forgive Tom.
Eu nunca perdoarei o Tom.,I'll never forgive Tom.
Eu nunca vou perdoar o Tom.,I'll never forgive Tom.
Eu não terminei com o Tom.,I'm not done with Tom.
Eu nunca trairia o Tom.,I'd never betray Tom.
Eu vou esperar o Tom.,I'll wait up for Tom.
Vou esperar o Tom.,I'll wait up for Tom.
Nunca gostei do Tom.,I've never liked Tom.
Eu nunca gostei do Tom.,I've never liked Tom.
Não posso proteger o Tom.,I can't protect Tom.
Eu não posso proteger o Tom.,I can't protect Tom.
Me sinto mal pelo Tom.,I feel bad for Tom.
Eu me sinto mal pelo Tom.,I feel bad for Tom.
Eu virei com o Tom.,I'll come with Tom.
Não vi o Tom.,I didn't see Tom.
Eu não vi o Tom.,I didn't see Tom.
Protegerei o Tom.,I'll protect Tom.
Vou proteger o Tom.,I'll protect Tom.
Eu vou proteger o Tom.,I'll protect Tom.
Eu protegerei o Tom.,I'll protect Tom.
Espero que o Tom veja isso.,I hope Tom sees this.
Eu espero que o Tom veja isso.,I hope Tom sees this.
Eu senti aquilo.,I felt that.
Farei o que o Tom disser.,I'll do what Tom says.
Eu farei o que o Tom disser.,I'll do what Tom says.
Fiz uma pergunta ao Tom.,I asked Tom a question.
Eu fiz uma pergunta ao Tom.,I asked Tom a question.
Perguntei uma coisa ao Tom.,I asked Tom a question.
Eu não estava preparado.,I wasn't prepared.
Não estava preparado.,I wasn't prepared.
Eu não sou pessimista.,I'm not pessimistic.
Não sou paciente.,I'm not patient.
Eu não sou paciente.,I'm not patient.
Estou feliz porque Tom está bem.,I'm glad Tom's OK.
Eu não sou intolerante.,I'm not narrow-minded.
Eu tenho uma mente aberta.,I'm open-minded.
Não era sortudo.,I wasn't lucky.
Eu não era sortudo.,I wasn't lucky.
Não sou preguiçoso.,I'm not lazy.
Só estou fazendo o meu trabalho.,I'm only doing my job.
Apenas estou fazendo o meu trabalho.,I'm only doing my job.
Estou feliz por Tom ter gostado disso.,I'm happy Tom liked it.
Não estou interferindo.,I'm not interfering.
Eu não estou interferindo.,I'm not interfering.
Eu tenho que entrar.,I've got to come in.
Tenho de entrar.,I've got to come in.
Eu dei um abraço ao Tom.,I gave Tom a hug.
Não fui honesto.,I wasn't honest.
Eu não estava feliz.,I wasn't happy.
Não estava feliz.,I wasn't happy.
Eu não sou mimado.,I'm not finicky.
Não sou mimado.,I'm not finicky.
Eu não sou conservadora.,I'm not conservative.
Sou de classe média.,I'm middle class.
Não fui cuidadoso.,I wasn't careful.
Não sou corajoso.,I'm not brave.
Não sou mandão.,I'm not bossy.
Eu não sou mandão.,I'm not bossy.
Eu não sou preconceituoso.,I'm not biased.
Não sou preconceituoso.,I'm not biased.
Você sabe que estou errado.,You know I'm wrong.
Você não pode nos despedir.,You can't fire us.
Você não pode nos parar.,You can't stop us.
Vocês não podem nos parar.,You can't stop us.
Você bagunçou tudo.,You just screwed up.
"Você não pode correr, Tom.","You can't run, Tom."
"Você levou um tiro, Tom.","You got shot, Tom."
"Você estragou tudo, Tom.","You blew it, Tom."
Você tem de fazer isso.,You've got to do this.
Você é parte disso.,You're part of this.
Você não pode fazer isso.,You can't do that.
Você ainda é meu filho.,You're still my son.
Você acabou de ser baleado.,You just got shot.
Você tem razão.,You got it right.
"Volte logo, ok?","You come back soon, OK?"
"Voltem logo, ok?","You come back soon, OK?"
"Volta logo, tá?","You come back soon, OK?"
Você tem que ir agora.,You've got to go now.
Você não pode parar agora.,You can't stop now.
Vocês não podem parar agora.,You can't stop now.
Vocês não podem ir agora.,You can't go now.
Você não pode ir agora.,You can't go now.
Você não pode dizer não.,You can't say no.
Vocês não podem dizer não.,You can't say no.
Você sabe de quem estou falando.,You know who I mean.
Vocês sabem de quem estou falando.,You know who I mean.
Você não pode me demitir.,You can't fire me.
Vocês não podem me demitir.,You can't fire me.
Você não pode me matar.,You can't kill me.
Vocês não podem me matar.,You can't kill me.
"Vocês parecem perdidos, pessoal.",You guys look lost.
Você é apenas uma criança.,You're just a kid.
Você conseguiu o emprego.,You got the job.
Você não pode negar isso.,You can't deny it.
Vocês não podem negar isso.,You can't deny it.
Você não pode vender isso.,You can't sell it.
Você chegou aqui rápido.,You got here fast.
Vocês chegaram aqui rápido.,You got here fast.
Você nos despejou.,You got us evicted.
Você parece triste.,You look kind of down.
Você é apenas um garoto.,You're just a boy.
Você não pode matar a nós dois.,You can't kill us both.
Você não pode fugir.,You can't get away.
Você não pode fugir.,You can't run away.
É claro que estou com raiva.,You bet I'm angry.
Tom acabou de chegar.,Tom just arrived.
Eu também estou indo nesta direção.,I'm also going in that direction.
Ela chamou sua irmã.,She called her sister.
Sou Ricardo.,I'm Ricardo.
Você tem de ver isso.,You've got to come see this.
Vocês têm de ver isso.,You've got to come see this.
Você tem de acreditar nisso.,You've got to believe that.
Você nunca vai me pegar.,You'll never catch me.
Vocês nunca vão me pegar.,You'll never catch me.
Você terá de conseguir ajuda.,You'll have to get help.
Vocês terão de conseguir ajuda.,You'll have to get help.
Aqui não reparamos microcomputadores.,We don't repair PCs here.
Voltarei às 2h30.,I'll be back at 2:30.
Eu voltarei às 2h30.,I'll be back at 2:30.
"Vocês estão bem, pessoal?",Are you guys OK?
"Está tudo ok, pessoal?",Are you guys OK?
Isso poderia levar dias.,That could take days.
O Tom acha que eu sou louco.,Tom thinks I'm crazy.
Observe e aprenda.,Watch and learn.
Esta aqui é mais bonitinha.,This one's cuter.
Isso parece bem legal.,That looks pretty cool.
"Para mim, serve direitinho.",It fits me just right.
Eu também sei fazer isso!,I can do it too!
Mary! Mary! Mary!,Mary! Mary! Mary!
Eu vou na frente!,I'm going first!
Eu vou primeiro!,I'm going first!
Eu não vou ser o segundo; vou ser o terceiro.,"I'm not going second, I'm going third."
Eu só quero encontrar o cara certo.,I just want to find the right guy.
Eu não estou nem aí se me odeiam.,I don't even care if they hate me.
"Desculpe, mas Tom está certo.","Sorry, but Tom's right."
Estava lotado dentro do carro.,It was crowded in the car.
Eu não acho que precise de um.,I don't think I need one.
Acho que é tarde demais.,I think it's too late.
"Bem, é melhor eu ir indo.","Well, I'd better be going."
Você sabe que não precisa fazer isto.,You know you don't have to do this.
Eu não acho que Tom consiga fazer isso.,I don't think Tom can do that.
Eu não acho que Tom possa fazer isso.,I don't think Tom can do that.
Tom diz que não se lembra de fazer isso.,Tom says he doesn't remember doing that.
"Tom é bem esperto, não é?","Tom is pretty smart, isn't he?"
"Tom é bem magro, não é?","Tom is pretty skinny, isn't he?"
"Tom é bem tímido, não é?","Tom is pretty shy, isn't he?"
"Ela todo dia cobre os braços e as pernas com lixívia, e, com a pele em brasa e coçando, pensa "" Vou ficar muito bonita.""","She covers her arms and legs with lye every day, burning and itching and thinking ""I'm gonna look so good."""
Ainda estamos esperando Tom chegar.,We're still waiting for Tom to arrive.
O Tom não sabe o que está dentro desta caixa.,Tom doesn't know what's in this box.
"À venda: sapatos de bebê, nunca usados.","For sale: baby shoes, never worn."
Então o que eu devo fazer?,So what should I do?
O que mais eles podem fazer?,What else can they do?
Você tem um trabalho a fazer.,You've got a job to do.
Eu farei qualquer coisa que tiver de fazer.,I'll do whatever I have to do.
Tom realmente não sabia o que fazer.,Tom didn't really know what to do.
Tom não sabia exatamente o que fazer.,Tom didn't know exactly what to do.
Você nem sabe o que eu quero fazer.,You don't even know what I want to do.
Você tem que fazer o que Tom lhe mandou fazer.,You've got to do what Tom told you to do.
Estamos fazendo exatamente o que Tom nos pediu que fizéssemos.,We're doing exactly what Tom asked us to do.
Isso é um truque muito legal!,That's a really cool trick!
É bastante óbvio que ele a ama.,It's pretty obvious that he loves her.
É bastante óbvio que ela o ama.,It's pretty obvious that she loves him.
Você só pode estar inventando isso.,You've got to be making this up.
É a minha vida!,It's my life!
Nós paramos no portão.,We stopped at the gate.
Tom não é generoso.,Tom isn't generous.
Tom parece generoso.,Tom seems generous.
Tom nunca foi generoso.,Tom never was generous.
Tom não percebeu como estava ficando tarde.,Tom didn't realize how late it was getting.
Tom não consegue ver bem mesmo de óculos.,Tom can't see well even with glasses.
Aonde mais eu poderia ir?,Where else could I go?
Aonde mais eu iria?,Where else would I go?
Eu me sinto tão vivo neste momento.,I feel so alive right now.
Ele deixou a pizzaria com a boca lambuzada de molho.,He left the pizzeria with his mouth smeared with sauce.
Tom acabou de ser preso.,Tom just got arrested.
Isso é tudo que eu peço.,That's all I ask.
Tom não é o que costumava ser.,Tom isn't what he used to be.
Tom está esparramado em sua cama.,Tom is sprawled out on his bed.
Tom diz que nunca te viu antes.,Tom says he's never seen you before.
Eu nunca vi Tom agir assim antes.,I've never seen Tom acting like this before.
Nunca pensei sobre isso antes.,I've never thought about that before.
Tom partiu sem pagar a conta.,Tom left without paying the bill.
Tom saiu sem pagar a conta.,Tom left without paying the bill.
Tom pulou nos arbustos.,Tom jumped into the bushes.
Eles estão calmos demais.,They're way too calm.
Tom olhou embaixo do carro.,Tom looked under the car.
Tom está orgulhoso de seus filhos.,Tom is proud of his children.
Tom tem orgulho de seus filhos.,Tom is proud of his children.
Tom sabe que não tem muita escolha.,Tom knows he doesn't have much choice.
Eles sabem que somos policiais.,They know we're cops.
Tom está esparramado no sofá.,Tom is sprawled out on the couch.
Tom não tem permissão de deixar o país.,Tom isn't allowed to leave the country.
"Vamos, Tom, nós não temos o dia todo.","Come on, Tom, we don't have all day."
Tom deitou o livro sobre a escrivaninha.,Tom laid the book on the desk.
Isso é tudo o que eu fiz.,That's all I did.
Tom não tem vergonha do que fez.,Tom isn't ashamed of what he did.
Eles vão morrer.,They're going to die.
Tom não tem medo de se sujar.,Tom isn't afraid to get dirty.
Tom acabou de se divorciar.,Tom just got divorced.
"OK, Tom, o que você faria?","OK Tom, what would you do?"
O que Tom fará?,What'll Tom do?
Acho que é isso que Tom estava tentando fazer.,I think that's what Tom was trying to do.
Tom ainda não sabe o que ele vai fazer.,Tom doesn't yet know what he's going to do.
Tom sabe exatamente o que está fazendo.,Tom knows exactly what he's doing.
Tom está orgulhoso do que fez.,Tom is proud of what he's done.
Tom está bem certo de que passará no exame de hoje.,Tom is pretty sure that he'll pass today's exam.
Tom ainda está desmaiado no chão.,Tom is still passed out on the floor.
Tom ainda não encontrou o que está procurando.,Tom hasn't yet found what he's looking for.
Tom não vai achar isso engraçado.,Tom isn't going to think that's funny.
Tom diz que você é um gênio.,Tom says you're a genius.
Eles são livres para ir.,They're free to go.
Fique olhando.,Keep looking.
Ela é toda sua.,She's all yours.
A filha de Tom ficou grávida aos 15.,Tom's daughter got pregnant at 15.
Eu disse a eles para estudarem mais.,I told them to study more.
Ele engordou.,She got fat.
Eu simplesmente não posso acreditar que Tom e Mary vão mesmo se casar.,I just can't believe Tom and Mary will actually get married.
Tom estava trabalhando com Mary.,Tom was working with Mary.
Tom mandou uma mensagem a Mary.,Tom sent a message to Mary.
Eu nunca vi tantas árvores na vida!,I've never seen so many trees in my life.
Eu nunca vi tantas sentenças na vida!,I've never seen so many sentences in my life!
Não o compre!,Don't buy it!
Eles têm medo de mim.,They're afraid of me.
Ela também era surda.,She was also deaf.
Não quero quebrar minha promessa.,I don't want to break my promise.
Mas ele ainda está vivo?,But he's still alive?
Você é melhor que um nativo!,You're better than a native!
"Na verdade, você está certo.","Actually, you're right."
"Você está certo, eu acho.","You're right, I think."
Eles não viram nada.,They didn't see anything.
Isso não se pode negar.,That can't be denied.
É por isso que estou aqui.,That's why I'm here.
Eles tiveram que ir ao hospital.,They had to go to the hospital.
Poderia ser pior?,Could it be worse ?
Tom fechou a porta com um chute.,Tom kicked the door shut.
Tom não tem medo de cobras.,Tom isn't afraid of snakes.
Tom correu escada acima.,Tom ran up the steps.
Tom foi um bravo soldado.,Tom was a brave soldier.
O que Tom fará se Mary não aparecer?,What'll Tom do if Mary doesn't show up?
Tom é orgulhoso demais para desistir.,Tom is too proud to give up.
Isso importa para nós.,It matters to us.
Eles estão mentindo para nós.,They're lying to us.
Eles são parte de nós.,They're part of us.
Eles têm medo de nós.,They're afraid of us.
Nossos filhos nos odeiam.,Our kids hate us.
Eles estão atirando em nós.,They're firing at us.
Tom pendurou seu diploma na parede.,Tom hung his diploma on the wall.
Tom não sabia onde estava seu guarda-chuva.,Tom didn't know where his umbrella was.
Estamos ficando sem água.,We're running out of water.
Tom disse que não foi ele que quebrou a janela.,Tom said it wasn't him who broke the window.
Mantenha limpíssimo o banheiro.,Keep the bathroom spick-and-span.
Eu não quero que nenhuma pessoa que eu conheço ou nenhum animal que eu conheço morra.,I don't want any person that I know or any animal that I know to die.
Tom deixou a cidade.,Tom left the city.
Tom saiu da cidade.,Tom left the city.
Você sempre tem que estar preparado para uma emergência.,You've always got to be ready for an emergency.
Matarei todos eles.,I'll kill all of them.
Seu marido nem mesmo sabe por que ela morreu.,Her husband doesn't even know why she died.
Sua esposa nem mesmo sabe por que ele morreu.,His wife doesn't even know why he died.
Ele passou a noite na cadeia.,He spent the night in jail.
Com o que realmente ela estava preocupada?,What was she really worried about?
Alguma pista?,Any clues?
Tom é viciado em cigarros.,Tom's hooked on cigarettes.
O rico fica mais rico e o pobre fica mais pobre.,The rich get richer and the poor get poorer.
"Se há um lugar onde você tem que estar agora mesmo, certamente é aqui!","If there's a place you gotta be right now, it is certainly here!"
Eu não sou o encontro dele!,I'm not his date!
Eu não sou seu encontro!,I'm not your date!
"Oi, eu sou o agente especial Tom do FBI.","Hi, I'm special agent Tom from the FBI."
Eu tenho um problema e ele se chama Tom.,I have a problem and he's called Tom.
E não demora muito para desmoronar.,And it doesn't take long to go downhill.
Ele tossiu.,He coughed.
Você não precisa ser uma vítima.,You don't have to be a victim.
Onde diabos você estava?,Where the hell were you?
Não quero me tornar como eles.,I don't want to become like them.
Não brinque na rua - é perigoso.,Don't play in the street—it's dangerous.
Tom empurrou a jangada para dentro da água.,Tom pushed the raft into the water.
Tom perdeu três filhos na guerra.,Tom lost three sons in the war.
Tom pressionou a orelha contra a parede.,Tom pressed his ear against the wall.
Tom pressionou o botão e esperou.,Tom pressed the button and waited.
O Tom disse que ele gostaria de ir conosco.,Tom said he'd like to go with us.
Tom disse que você não queria deixá-lo entrar.,Tom said you wouldn't let him in.
Por pouco não perdi o trem.,I barely made the train.
A muito custo ainda consegui pegar o trem.,I barely made the train.
Tom diz que eu sou uma má influência.,Tom says I'm a bad influence.
Tom diz que você é uma má influência.,Tom says you're a bad influence.
Tom não deveria ir sozinho.,Tom shouldn't go by himself.
Tom enfiou as mãos nos bolsos.,Tom stuffed his hands in his pockets.
Não consigo me focar no trabalho hoje de jeito nenhum.,I can't seem to focus on work at all today.
Tom rolou os dados.,Tom rolled the dice.
Tom viu Mary parada na multidão.,Tom saw Mary standing in the crowd.
Tom diz que não vem.,Tom says he's not coming.
Tom correu de volta para dentro da caverna.,Tom ran back into the cave.
Tom me mostrou todo o campus.,Tom showed me around the campus.
Cortarei a grama amanhã se não chover.,I'll mow the lawn tomorrow if it's not raining.
Tom começou a arrumar sua mochila.,Tom started packing his backpack.
Tom diz que consegue consertar qualquer coisa.,Tom says he can fix anything.
Tom disse que você consegue consertar qualquer coisa.,Tom says you can fix anything.
"Tom pode fazê-lo, não pode?","Tom can do it, can't he?"
"Tom foi o primeiro aqui, não foi?","Tom was the first one here, wasn't he?"
Eles levaram o jogador machucado embora numa maca.,They carried the injured player away on a stretcher.
Tom recebeu uma carta do Papai Noel.,Tom got a letter from Santa Claus.
Tom tentou esconder suas lágrimas.,Tom tried to hide his tears.
Eu perdi a esperança.,I've lost hope.
Tom deve estar se perguntando por que estamos aqui.,Tom must be wondering why we're here.
Vem pra cá.,Get over here.
Ele fala sem parar.,He talks without stopping.
Tom sabe o que você está fazendo?,Does Tom know what you're doing?
Tom vomitou no chão todo.,Tom threw up all over the floor.
Não quero açúcar.,I don't want sugar.
Franza a testa!,Knit your eyebrows!
Eu acho que isso não vai ser tão difícil.,I think it's not gonna be that hard.
Não consigo acreditar que você ainda acredita no Tom.,I can't believe you still trust Tom.
De onde você veio?,Whence came you?
De onde vêm os bebês?,Whence come babies?
Não posso ir alhures.,I can't go anywhere else.
O bezerro recém-nascido não conseguiu acompanhar o rebanho que estava fugindo da onça.,The newborn calf couldn't catch up with the herd running from the jaguar.
Estou molhado até os ossos.,I'm soaking wet.
Estou molhado até os ossos.,I'm drenched.
Mas eu sempre acho que a melhor maneira de conhecer a Deus é amar muitas coisas.,But I always think that the best way to know God is to love many things.
Ele parecia saber o que estava fazendo.,He seems to know what he's doing.
Ele furou o bolo macio com o dedo.,He stuck his finger into the soft cake.
Isso é um plano ótimo.,That's a great plan.
Eu já tentei tudo.,I've tried everything.
Eu sei que você pensa que eu sou estúpida.,I know you think I'm stupid.
Ela não tentou esconder a verdade.,She didn't try to hide the truth.
"Você não está assustado, Tom?","Aren't you scared, Tom?"
Eu não percebi o que eu estava fazendo.,I didn't realize what I was doing.
Por que você não ajuda Tom?,Why don't you help Tom?
Não aponte o laser em minha cara!,Don't point the laser at my face!
Eu não sei quando ele vai vir.,I don't know when he'll come.
Eu não sei quando ele virá.,I don't know when he'll come.
Eu não sei o que vamos fazer.,I don't know what we'll do.
Eu não sei o que faremos.,I don't know what we'll do.
Aposto que termino primeiro.,I bet I finish first.
Aposto que terminarei primeiro.,I bet I finish first.
Eu estava com as mãos ocupadas.,My hands were full.
Isso é tudo que eu preciso.,That's all I need.
Muitas vezes te amei antes de conhecer teu rosto ou saber teu nome.,Twice and thrice had I loved thee before I knew thy face or name.
Está todo mundo nu lá dentro.,"Everyone's in the buff, in there."
Eu irei se Tom for.,I'll go if Tom goes.
É o que você chama de doce vingança!,That's what you call sweet revenge!
O amor adora amar o amor.,Love loves to love love.
Não pude deixar de bocejar.,I couldn't help yawning.
Tom manteve Mary esperando.,Tom kept Mary waiting.
Eles acusaram-no injustamente.,They accused him unfairly.
Gastei todo o meu dinheiro com estupidezes.,I spent all my money on stupid stuff.
Foi como um sonho.,It was like a dream.
Eu quisera não ter acreditado em Tom.,I wish I hadn't believed Tom.
Beijos!,Kisses!
Come!,Eat!
Comida!,Food!
Isso diz tudo.,That says it all.
Os sinos do perigo dobram por eles.,The bells of danger toll for them.
Eu não aguento mais!,I can't take no more!
Estou com vontade de comer uma pizza.,I feel like a pizza.
Tô fora!,I'm out!
Eu sorri.,I smiled.
Eu não me sinto seguro aqui.,I don't feel safe here.
Eles não trabalham mais conosco.,They don't work with us anymore.
Eles não trabalham mais com a gente.,They don't work with us anymore.
Ela não mora mais aqui.,She doesn't live here anymore.
Ótimo!,Sounds good!
Já era hora!,About time too!
Já estava na hora!,About time too!
Ele tem certeza?,Is he sure?
Você tem certeza que nada vai acontecer?,Are you sure nothing is gonna happen?
"Obrigado por virem, pessoal! Vejo vocês semana que vem!","Thanks for coming, guys! I'll see you next week!"
"Obrigado por virem, pessoal! Vejo vocês por aí!","Thanks for coming, guys! See you around!"
"Obrigado por virem, pessoal! Vejo vocês na próxima aula!","Thanks for coming, guys! I'll see you next class!"
"Agora, estou um pouco assustado.",Now I'm a little scared.
Ele dirigiu-se de carro para o trabalho apesar da tempestade.,He drove to work despite the storm.
Eu sei o que você vai dizer.,I know what you're going to say.
Ele não é religioso.,He's not religious.
Deixamos a África para sempre.,We left Africa forever.
Vamos pegar um taxi?,Shall we take a taxi?
Você nunca vai acreditar nisto.,You're never going to believe this.
Eu sei que estou errado.,I know I'm wrong.
"E aí, cara, firmeza?","Hey, man! What's up?"
"E aí, cara, tudo em cima?","Hey, man! What's up?"
"E aí, mano, tudo em cima?","Hey, man! What's up?"
"E aí, mano, firmeza?","Hey, man! What's up?"
O açougueiro estava cortando a carne do boi em pedaços.,The butcher was hacking cuts of meat from the steer carcass.
Eu vou mudar isso agora mesmo.,I'm gonna change it right now.
"Depressa, garota!","Hurry up, girl!"
Vou ficar aqui por dois dias.,I'll be staying here for two days.
Ele está pensando sobre este problema difícil.,He's thinking about this difficult problem.
Não corto o cabelo dela.,I don't cut her hair.
"Você precisa de taxi, não?","You need a taxi, don't you?"
Eu não gosto dela nenhum pouquinho.,I don't like her at all.
Eles queimaram o papel.,They burned the paper.
"Enfim, você acertou na mosca!","At last, you've hit the nail on the head!"
"Afinal, você acertou em cheio!","At last, you've hit the nail on the head!"
Isso era mentira.,That was a lie.
Já está escuro lá fora.,It's already dark outside.
