pt-br,en
Ele finalmente se deu conta de que Mary tinha feito ele de bobo.,He finally realized that Mary had made a fool of him.
Ele estava sentado entre Mary e Tom.,He was sitting between Mary and Tom.
Ele tem um encontro com Mary nessa tarde.,He has a date with Mary this afternoon.
Ele foi ver Mary?,Did he go to see Mary?
Ele mandou um cartão para Mary.,He sent a card to Mary.
Ele enviou um cartão para Mary.,He sent a card to Mary.
Ele colocou o anel no dedo de Mary.,He put the ring on Mary's finger.
"Mesmo de óculos, ele não enxerga muito bem.","Even with his glasses, he doesn't see very well."
Conheci ela durante minha estada no México.,I met her during my stay in Mexico.
Ele está fazendo um grande progresso no inglês.,He is making great progress in English.
Ele já chegou?,Has he come yet?
Ele não trabalha mais aqui.,He no longer works here.
Ele não mora mais aqui.,He no longer lives here.
Ele já está aqui.,He is already here.
Ele não mora mais lá.,He does not live there any more.
Está tudo acabado com ele.,It is all over with him.
Ele fez um gesto de impaciência.,He made a gesture of impatience.
Ele já voltou?,Is he back already?
Ele já voltou?,Has he returned yet?
Ele já foi embora?,Has he gone already?
Ele já foi embora.,He has left already.
Ele já partiu.,He has left already.
Ele não é o garoto tímido que costumava ser.,He is not the shy boy he used to be.
Ele já chegou?,Has he arrived yet?
Ele merece tratamento melhor.,He is entitled to better treatment.
Ele se consolou com o pensamento de que poderia ter sido pior.,He consoled himself with the thought that it might have been worse.
Ele deixou a barba crescer para parecer mais maduro.,He grew a beard to look more mature.
Ele deveria ter sido mais cuidadoso.,He should have been more careful.
Ele deveria ter tido mais cuidado.,He should have been more careful.
Ele voltou ao país de onde veio.,He returned to the country whence he came.
Ele tem boa memória.,He has a good memory.
Ele tem uma boa memória.,He has a good memory.
Ele estava absorto em pensamentos.,He was absorbed in thought.
Ele não dependia mais de seus pais.,He was no longer dependent on his parents.
Ele já não dependia de seus pais.,He was no longer dependent on his parents.
Ele aprenderá os fatos com o passar do tempo.,He will learn the facts in the course of time.
Ele é orgulhoso demais para desistir.,He is too proud to give up.
Ele é um homem que fará o que bem entender.,He is a man who will do what he wants.
Dizem que ele é um bom médico.,He is said to be a good doctor.
Ele tem uma boa câmera.,He has got a good camera.
Tornar-se-á um bom médico.,He will become a good doctor.
Ele frequentemente toca violão.,He often plays the guitar.
Ele fala bem.,He talks well.
Ele fala bonito.,He talks well.
Ele frequentemente caminha até a escola.,He often walks to school.
Muitas vezes ele janta fora nos sábados.,He often eats out on Saturday nights.
Ele trabalha bastante.,He works very hard.
Ele trabalha muito.,He works very hard.
Ele imigrou para o Brasil em busca de uma vida melhor.,He immigrated to Brazil in search of a better life.
Ele é bom em rúgbi.,He is good at rugby.
Ele começou a aprender espanhol pelo rádio.,He started to learn Spanish from the radio.
Ele sabe como fabricar um rádio.,He knows how to make a radio.
Ele ligou o rádio.,He turned on the radio.
Ele se tornou um belo rapaz.,He became a handsome young man.
Ele carregava uma sacola cheia de maçãs.,He carried a bag full of apples.
Ele tirou o primeiro lugar na corrida.,He took the first place in the race.
Ele fez um robô.,He made a robot.
Ele cometeu um erro de propósito.,He made a mistake on purpose.
Ele me chutou de propósito.,He kicked me on purpose.
Ele me deixou esperando de propósito.,He kept me waiting on purpose.
Ele não se preocupa em pentear o cabelo.,He doesn't bother to comb his hair.
Ele tem enfrentado dias ruins.,He has taken on bad ways.
Ele vive com conforto.,He lives in comfort.
Ele deu um suspiro de alívio.,He gave a sigh of relief.
Ele acendeu uma vela no escuro.,He lit a candle in the dark.
Ele já havia estado ali.,He had been there before.
Ele estivera lá antes.,He had been there before.
Parecia que ela tinha estado muito feliz.,It seemed that he had been very happy.
Parecia que ele tinha sido muito feliz.,It seemed that he had been very happy.
Ele não está tão gordo quanto antes.,He is not as fat as he was.
Ele costumava sair à noite.,He used to go out at night.
Ele estuda muito mais do que antes.,He studies much harder than before.
Ele veio um pouco mais cedo do que de costume.,He came a little earlier than he used to.
Ele ia a pé para o escritório.,He used to walk to his office.
Ele costumava ir caminhando para o escritório.,He used to walk to his office.
Ele costumava levantar cedo.,He used to get up early.
Ele está olhando para o que costumava ser a escrivaninha do meu pai.,He is looking at what used to be my father's desk.
"Ele é um grande estudioso e, o que é melhor, um bom professor.","He is a great scholar and what is better, a good teacher."
Ele é conhecido como um grande pianista.,He is known as a great pianist.
Parece que ele era um grande atleta.,It seems that he was a great athlete.
Parece que ele foi um grande atleta.,It seems that he was a great athlete.
Ele se tornou um grande músico.,He became a great musician.
Ele estava destinado a se tornar um grande músico.,He was destined to become a great musician.
"Ele é um grande estudioso, mas carece do que se chama de bom senso.","He is a great scholar, but lacks what is called common sense."
Ele é conhecido por todos como um ótimo jogador de bola.,He is known to everybody as a great ballplayer.
Ele é um membro do comitê.,He is a member of the committee.
Ele elaborou um testamento.,He has drawn up a will.
Ele não confia mais no doutor.,He has lost faith in the doctor.
Ele é médico.,He is a doctor.
"Ele era médico; além do mais, poeta.","He was a doctor; moreover, a poet."
Ele é médico?,Is he a doctor?
Ele é doutor?,Is he a doctor?
Ele não é médico.,He is not a doctor.
Ele não é bom como médico.,He is no good as a doctor.
"Médico que é, ele não é bom.",He is no good as a doctor.
Ele é famoso como médico.,He is famous as a doctor.
Ele decidiu ser médico.,He made up his mind to be a doctor.
O médico disse para ele se abster de beber.,He was told to abstain from drinking by the doctor.
Ele compôs três poemas dentro de um mês.,He composed three poems in a month.
Ele não é mais que um poeta.,He is nothing but a poet.
Ele veio de novo após uma semana.,He came again after a week.
Ele não tem ninguém com quem brincar.,He does not have anyone to play with.
Ele tomou café da manhã completamente sozinho.,He had breakfast all alone.
Ele está sozinho.,He is alone.
Ele vive sozinho.,He lives by himself.
Ele estava só.,He was alone.
Ele estava sentado sozinho.,He was seated all alone.
Ele é um trabalhador esforçado.,He is a hard worker.
Ele jogou um pedaço de carne para um cachorro.,He threw a piece of meat to a dog.
Ele nunca limpou o seu quarto.,He has never cleaned his room.
Ele estava atrás do primeiro prêmio.,He was after the first prize.
Ele estava buscando o primeiro prêmio.,He was after the first prize.
Seu objetivo era o primeiro prêmio.,He was after the first prize.
Ele dividiu sua caixa de biscoitos com todos os seus amigos.,He shared his box of biscuits with all his friends.
Ele encontrou um cachorro abandonado no bosque.,He found a dog abandoned in the woods.
Ele se apaixonou por ela à primeira vista.,He fell in love with her at first sight.
Ele foi punido por dirigir bêbado.,He was punished for drunken driving.
Ele se beneficiou com a chuva.,He availed himself of the rain.
Ele continuou a contar mentiras.,He kept on telling lies.
Ele não é homem de mentir.,He is not a man to tell a lie.
Ele negou o rumor.,He denied the rumor.
Ela sabe dirigir carro.,He can drive a car.
Ele nada bem.,He can swim well.
Ele é um bom nadador.,He is a good swimmer.
Ele propôs que fôssemos nadar.,He suggested that we go for a swim.
Ele foi no mar nadar.,He went to sea to swim.
Ele nada super rápido.,He is a very fast swimmer.
Ele sabe nadar.,He can swim.
Ele aprendeu a nadar.,He learned to swim.
Ele pode falar tanto inglês quanto francês.,He can speak both English and French.
Ele fala inglês?,Does he speak English?
Ele sabe falar inglês e também francês.,"He can speak English, and French as well."
Ele leu um livro escrito em inglês.,He read a book written in English.
Ele é capaz de ensinar tanto inglês quanto francês.,He is capable of teaching both English and French.
Ele fala inglês e francês.,He speaks English and French.
Ele está ocupado aprendendo inglês.,He is busy learning English.
Ele fala ambos inglês e francês.,He speaks both English and French.
Ele é superior a mim em seu conhecimento de inglês.,He is superior to me in his good knowledge of English.
Ele foi lá para aprender inglês.,He went there to learn English.
"Além de ensinar inglês, ele escreve romances.","Besides teaching English, he writes novels."
Ele ganha a vida ensinando inglês.,He earns his living by teaching English.
Ele ensina inglês.,He teaches English.
Ele não sabe nada de inglês.,He knows no English.
Ele está falando inglês.,He is speaking English.
Ele fala inglês.,He speaks English.
Ele começou a falar inglês.,He started to speak English.
Ele pode falar inglês?,Can he speak English?
Ele sabe falar inglês?,Can he speak English?
Ele não sabe falar inglês.,He can't speak English.
Ele é um bom falante de inglês.,He is a good speaker of English.
Ele tem alguma experiência em ensinar inglês.,He has some experience in teaching English.
Ele se orgulha de ser um súdito britânico.,He is proud of being a British subject.
Ele acha que é um herói.,He believes that he is a hero.
Ele encontrou seu professor de inglês na estação por acaso.,He met his English teacher at the station by accident.
Ele proferiu um discurso.,He delivered a speech.
Ele não fuma.,He does not smoke.
Ele tem dois lápis; um grande e um pequeno.,He has two pencils; one is long and the other short.
Ele estava com medo de sua esposa.,He was afraid of his wife.
"Ele pode até ter discutido com a esposa, mas ele não pode ter batido nela.","He may have argued with his wife, but he can't have hit her."
Ele tem sangue real.,He is of royal blood.
Ele gosta muito de música.,He likes music very much.
Ele gosta muito de música.,He is very fond of music.
Ele gosta tanto de música como de esportes.,He likes both music and sports.
Ele está tocando música.,He is playing music.
Ele estava ouvindo música.,He was listening to music.
Parece que ele é músico.,It appears that he is a musician.
Ele é fraco em química.,He is poor at chemistry.
Ele vem vagando pela Europa por meses.,He has been wandering over Europe for months.
Ele entende tudo na mesma hora.,He understands everything right on the spot.
Às vezes ele fica bravo por nada.,He sometimes loses his temper for nothing.
Ele tem uma tendência ao exagero.,He has a tendency toward exaggeration.
Ele não teve dificuldade em nadar no rio.,He had no difficulty swimming across the river.
Ele não fez nada errado.,He did nothing wrong.
O que ele quer fazer?,What does he want to do?
O que ele estava procurando?,What did he look up?
Sobre o quê ele está falando? Simplesmente não faz sentido.,What is he talking about? It just doesn't make sense.
Atrás de que ele está correndo?,What is he running after?
Ele está correndo atrás do que?,What is he running after?
Atrás do que ele está a correr?,What is he running after?
Não há nada de errado com ele.,There is nothing wrong with him.
Ele olhou como se não tivesse comido há dias.,He looked as if he hadn't eaten for days.
Ele gosta de nadar no verão.,He likes swimming in summer.
Ele deixou a família.,He has left his family.
Ele deixou a família dele.,He has left his family.
Ele pensou na possibilidade de comprar uma casa.,He looked into the possibility of buying a house.
Ele mora longe de sua família.,He lives apart from his family.
Ele tirou uma foto da família.,He took a photograph of the family.
Ele abandonou a família.,He abandoned his family.
Ele abandonou sua família e foi morar em Taiti.,He abandoned his family and went to live in Tahiti.
Ele tem renda suficiente para manter sua família.,He has a sufficient income to support his family.
Ele tem de trabalhar duramente para sustentar a sua família.,He has to work hard in order to support his family.
"Ele estava muito atrasado com o seu aluguel. Como resultado, ele foi despejado de seu apartamento.","He was way behind on his rent. As a result, he was evicted from his apartment."
Ele ganhou grande prestígio como cientista.,He won eminence as a scientist.
Cantou e cantou.,He sang and sang.
Ele começou a cantar.,He started singing.
Ele é um bom cantor.,He is a good singer.
Ele explicou como fazer uma fogueira.,He explained how to make a fire.
"Ele enviou flores para ela, junto com um belo cartão.","He sent her some flowers, along with a pretty card."
Ele derrubou um vaso.,He dropped a vase.
Ele acertou o seu polegar com o martelo acidentalmente.,He accidentally hit his thumb with the hammer.
Ele nos concedeu o direito de usar seu iate.,He conceded us the use of his yacht.
Ele é o melhor jogador do nosso time.,He is the best player on our team.
Ele sabe cantar melhor do que qualquer um de nós.,He can sing better than any of us.
Ele foi cuidadoso para não desorganizar a reunião.,He was careful not to disrupt the meeting.
Ele vai ao escritório de carro.,He goes to the office by car.
Ele trabalha comigo no escritório.,He works with me at the office.
Ele não vive por nada além do prazer.,He lives for nothing but pleasure.
Ele está melhorando.,He is getting better.
Ele caminhava em direção ao mar.,He was walking toward the sea.
Ele estudou fora.,He studied abroad.
"Ele dá a impressão de ser rico, mas não é.",He is wealthy in appearance but not in reality.
Ele teve o privilégio de estudar fora por dois anos.,He had the privilege of studying abroad for two years.
Ele estava determinado a viajar pro exterior.,He was determined to go abroad.
Ele decidiu sair do país.,He decided to go abroad.
Ele tomou a decisão de ir para o exterior.,He decided to go abroad.
Ele partiu.,He has gone out.
Ele foi embora.,He has gone out.
"Ele é um homem famoso, de fato, mas eu não gosto dele.","He is a famous man, to be sure, but I don't like him."
Ele virou à esquerda na esquina.,He turned to the left at the corner.
Ele é incapaz de se concentrar em seu trabalho acadêmico.,He is unable to concentrate on his academic work.
Ele vai muito melhor que você na escola.,He does far better than you do at school.
Ele queria ensinar inglês na escola.,He wanted to teach English at school.
"Ele não só dava aula na escola, mas também escrevia romances.","Not only did he teach school, but he wrote novels."
Ele está indo muito bem na escola.,He is doing very well at school.
Ele pediu desculpas ao professor por chegar atrasado à escola.,He apologized to the teacher for coming to school late.
Ele pediu desculpas à professora por chegar atrasado à escola.,He apologized to the teacher for coming to school late.
Ele está ausenta da escola.,He is absent from school.
Ele tem barba.,He has a beard.
Ele é um menino ativo.,He is an active boy.
Ele é um garoto ativo.,He is an active boy.
Ele está cheio de energia.,He is full of energy.
Ele escorregou e quase caiu.,He slipped and nearly fell.
Ele prendeu uma etiqueta à bolsa.,He attached a label to the bag.
Ele pode investir um milhão de ienes em ações.,He can invest a million yen in stocks.
Ele investiu 500.000 ienes em ações.,"He invested 500,000 yen in stocks."
Ele perdeu uma fortuna no mercado de ações.,He lost a fortune in the stock market.
Ele logo se acostumou ao tempo frio.,He soon accustomed himself to cold weather.
Ele estava azul de frio.,He was blue from the cold.
Ele é muito sensível ao frio.,He is very sensitive to cold.
Ele é muito friorento.,He is very sensitive to cold.
Ele está longe de ser perfeito.,He is far from perfect.
Ele estava completamente absorto no trabalho.,He was completely absorbed in his work.
Ele subjugou as paixões dele.,He subdued his passions.
Ele circulou de mesa em mesa na recepção.,He circulated from table to table at the reception.
Ele estava coberto de suor.,He was covered with sweat.
Ele não sabe escrever nenhum kanji.,He can't write any kanji.
Ele se adaptou às circunstâncias.,He adapted himself to circumstances.
Ele gosta de doces.,He likes sweets.
Ele gosta de tudo que for doce.,He likes anything sweet.
Ele tinha noção de estar sendo observado.,He was aware of being watched.
Ele viveu uma vida simples.,He lived a simple life.
Ele não é o tipo de cara que desiste facilmente.,He is not the sort of guy who gives in easily.
Ele encontrará facilmente o ponto de ônibus.,He will find the bus stop easily.
Ele tem medo de cometer erros.,He is afraid of making mistakes.
Ele cometeu um erro.,He made a mistake.
Ele deve ter pegado o trem errado.,He must have taken the wrong train.
Ele me bateu por engano.,He hit me by mistake.
Ele está serrando um tronco para fazer tábuas.,He is sawing a log into boards.
Ele não enxerga nada sem seus óculos.,He can see nothing without his glasses.
Ele parece estar forte e saudável.,He appears to be strong and healthy.
Ele conhece muitas pessoas.,He knows a lot of people.
Ele conhece muita gente.,He knows a lot of people.
Ele quase se afogou.,He was almost drowned.
Ele me salvou do perigo.,He saved me from danger.
Ele não sabia do perigo.,He was unaware of the danger.
Ele não estava ciente do perigo.,He was unaware of the danger.
Ele está de mau humor.,He is in a bad mood.
Ele tem um mau temperamento.,He has a bad temper.
Ele explicou as regras detalhadamente.,He explained the rules in detail.
Ele perdeu sua memória.,He lost his memory.
Ele perdeu a memória.,He lost his memory.
Ele está sofrendo de perda de memória.,He is suffering from loss of memory.
Ele era um engenheiro e era tratado como tal.,He was an engineer and was treated as such.
Ele tem perdido completamente todo o senso de dever.,He has completely lost all sense of duty.
Será que ele pode me emprestar seu violão durante as férias?,I wonder if he can lend me his guitar during the vacation.
Ele colocou seu pé no freio de repente.,He put his foot on the brake suddenly.
Ele se adoentou subitamente.,He suddenly fell ill.
Ele cria gado e cavalos.,He breeds cattle and horses.
Ele tem dez vacas.,He has ten cows.
Ele morreu de câncer no ano passado.,He died of cancer last year.
Ele não gosta de peixe.,He doesn't like fish.
Ele é capaz de nadar como um peixe.,He is able to swim like a fish.
Ele mora em Quioto.,He lives in Kyoto.
Ele está estudando na Universidade de Quioto.,He is studying at Kyoto University.
Ele começou a gritar.,He began to shout.
Ele achava que ensinar era sua vocação.,He found that teaching was his calling.
Ele está comprometido em ensinar.,He is engaged in teaching.
Ele teve uma longa carreira de magistério.,He has had a long teaching career.
Ele é professor e eu também.,He's a teacher and so am I.
Ele é professor.,He is a teacher.
Ele tem pouca experiência em ensinar.,He has little experience in teaching.
Ele tem uma vasta experiência em ensinar.,He has long experience in teaching.
Ele agiu como louco.,He acted like a madman.
Ele pegou um espelho e examinou sua língua.,He picked up a mirror and examined his tongue.
Ouvi que ele está procurando trabalho.,I hear he is looking for work.
Ele é liberal com o seu dinheiro e compra vários presentes.,He is liberal with his money and buys a lot of presents.
Ele se casou por dinheiro.,He married for money.
Ele não sabe o que fazer com seu dinheiro.,He doesn't know what to do with his money.
Ele pediu dinheiro.,He asked for some money.
Ele sorrateiramente colocou o dinheiro no meu bolso.,He slid the money into my pocket.
Ele perdeu o respeito de seu povo quando aceitou o dinheiro.,He lost the respect of his people when he accepted the money.
Ele perdeu o respeito de seu pessoal quando aceitou o dinheiro.,He lost the respect of his people when he accepted the money.
Roubaram-lhe todo o seu dinheiro.,He was robbed of all his money.
Ele é generoso com o dinheiro.,He is generous with his money.
"Apesar de ser rico, ele trabalha muitíssimo.",Although he is rich he works very hard.
"Apesar de ser rico, ele não é feliz.","Though he is rich, he is not happy."
Ele parecia um homem rico.,He looked like a rich man.
Ele só pensa em fazer dinheiro.,He thinks only of making money.
Ele tinha ouvido maravilhosas histórias sobre cidades de ouro com árvores de prata.,He had heard wonderful stories about cities of gold with silver trees.
Ele escutou histórias magníficas sobre cidades de ouro com árvores de prata.,He had heard wonderful stories about cities of gold with silver trees.
Ele tem muito dinheiro no banco.,He has plenty of money in the bank.
Ele tinha muito dinheiro no banco.,He had a lot of money in the bank.
Ele gritou de dor.,He cried out in pain.
Ele levantou os olhos para o céu.,He looked up at the sky.
Ele vive num mundo de fantasia.,He lives in a world of fantasy.
Ele não passa de ser um sonhador.,He is no more than a dreamer.
Ele é apenas um sonhador.,He is no more than a dreamer.
Ele encontrou por acaso a câmera que tinha perdido.,He found his lost camera by chance.
Sem querer ele encontrou o tesouro.,It happened that he found the treasure.
Ele encontrou o tesouro por acaso.,It happened that he found the treasure.
Ele corre tão rápido quanto você.,He runs as fast as you.
Ele quer que você fique aqui.,He wants you to stay here.
Ele quer que você permaneça aqui.,He wants you to stay here.
Ele está muito zangado com você.,He's very angry with you.
Ele está com raiva de você.,He is angry with you.
Ele escuta qualquer coisa que você diga.,He listens to whatever you say.
Ele não tem nenhuma intenção de interferir em seus assuntos.,He has no intention to interfere with your business.
Ele perguntou de você.,He asked after you.
Ele não é tão alto como você.,He is not so tall as you.
Ele é muito mais alto do que você.,He's much taller than you.
Ele foi condenado à morte.,He was sentenced to death.
Ele é detetive.,He is a detective.
Zangou-se com o seu irmão.,He got angry with his brother.
Ele é menos paciente que o seu irmão.,He is less patient than his brother.
Ele lutou com seu irmão.,He grappled with his brother.
Ele correu mais rápido do que seu irmão.,He ran faster than his brother did.
Ele se tornou financeiramente independente.,He became financially independent.
Ouvi dizer que ele se entregou à polícia.,I heard that he gave himself up to the police.
Ele tem bom gosto para arte.,He has a good eye for art.
Ele se julga um artista.,He fancies himself as an artist.
Ele é a última pessoa para se contar uma mentira.,He is the last person to tell a lie.
Parece que ele nunca sente frio.,He never seems to feel the cold.
Ele é a última pessoa a falar mal dos outros.,He is the last person to speak ill of others.
Ele não é mesmo um cavalheiro.,He is not at all a gentleman.
Ele seria o último a trair os seus amigos.,He is the last person to betray his friends.
Ele nunca vai contra seus pais.,He never goes against his parents.
Ele mudou de ideia.,He changed his mind.
"No final das contas, ele não apareceu.",He didn't turn up after all.
Ele fracassou apesar de tudo.,He failed after all.
Será que ele é casado?,I wonder if he is married.
Ele foi forçado a renunciar por causa de sua saúde.,He was compelled to resign on account of ill health.
Ela foi para trás do prédio.,He went to the back of the building.
Ele tem cachorro?,Does he have a dog?
Ele não é tão burro quanto parece.,He isn't as stupid as he looks.
Ele não é tão estúpido quanto aparenta.,He isn't as stupid as he looks.
Ele pôs a chave na fechadura.,He put the key in the lock.
Ele procurou a chave.,He looked for the key.
Ele parece bem.,He looks well.
Ele se via bem.,He looked well.
Ele dedicou-se ao plano original.,He adhered to the original plan.
Atualmente ele está morando em um apartamento.,He is living in an apartment at present.
Atualmente ele se encontra no hospital.,He is in the hospital at present.
Ele é o Bach dos tempos atuais.,He's the Bach of today.
Ele é versado em literatura inglesa moderna.,He is at home in modern English literature.
Ele começou a dar desculpas.,He began to make excuses.
Ela começou a se desculpar.,He began to make excuses.
Ele fez o que lhe foi dito.,He did what he had been told.
"Ele é um homem de poucas palavras, mas sempre cumpre suas promessas.","He is a man of few words, but he always keeps his promise."
Ele trocou seu carro antigo por um novo.,He exchanged his old car for a new one.
Ele conhece bem sobre história antiga.,He is well acquainted with ancient history.
Ele é bem versado em história antiga.,He is well acquainted with ancient history.
Ele se escondeu atrás da porta.,He hid himself behind the door.
Ele vive longe da cidade natal.,He lives far away from his hometown.
Ele veio às três da tarde.,He came at three in the afternoon.
Ele está para vir aqui às 21h00.,He is supposed to come here at 9 p. m.
Ele não tem amigos com quem conversar.,He has no friends to talk with.
Ele perdeu o seu filho num acidente de tráfego.,He lost his son in the traffic accident.
Ele gosta de caminhar no parque.,He likes walking in the park.
Ele está deixando o bigode crescer.,He grows a mustache.
Ele inventou uma desculpa.,He made up an excuse.
Ele pode fazer o que ele quiser com o dinheiro.,He can do whatever he likes with the money.
Ele tirou vantagem do bom tempo para fazer um pouco de jardinagem.,He took advantage of the good weather to do some gardening.
Ele aproveitou o bom tempo para cuidar do jardim.,He took advantage of the good weather to do some gardening.
Ele trabalha numa fábrica.,He works in a factory.
Ele trabalha em uma fábrica.,He works in a factory.
Ele é feliz.,He is happy.
Talvez ele não seja feliz.,He may not be happy.
Ele teve a boa sorte de se casar com uma moça bonita.,He had the good fortune to marry a pretty girl.
Ele teve a sorte de encontrar trabalho.,He had the fortune to find a job.
Ele pôs fogo no prédio da escola.,He set fire to the school building.
Ele adicionou um pouco de açúcar e leite ao seu chá.,He added a little sugar and milk to his tea.
Ele soltou a corda e caiu no rio.,He lost hold of the rope and fell into the river.
Ele não irá.,He will not go.
"Ele não quer ir, nem eu.",He doesn't want to go; neither do I.
Ele é um homem de ação.,He is a man of action.
"O jeito que ele fala e age, dá para perceber que ele é caipira.","The way he talks and acts, you can tell he's a redneck."
Ele tem um narigão.,He has a long nose.
Ele é um estudante de ensino médio.,He is a student at a high school.
Ele pegou uma gripe terrível.,He caught a terrible cold.
"Desde que ele estava vestido de preto, ele parecia um padre.","Since he was dressed in black, he looked like a priest."
Ele estava vestido de preto.,He was dressed in black.
Ele desenhou dois quadrados no quadro.,He drew two squares on the blackboard.
Ele tem bom olho para antiguidades.,He has an eye for antiques.
Ele está estudando agora?,Is he studying now?
Ele agora está jogando tênis na quadra.,He is now playing tennis on the court.
Ele acabou de sair do escritório.,He left the office just now.
Ele ainda me escreve de vez em quando.,He still writes to me from time to time.
Ele está vendo TV agora.,He is watching TV now.
"Ele está no trabalho agora, mas retornará às sete.","He is at work now, but will return at seven."
Ele tem pouco dinheiro consigo.,He has little money with him.
Ele está no rádio.,He is on the radio.
Ele é a última pessoa que eu quero ver agora.,He is the last person I want to see now.
Ele está muito ocupado agora.,He is very busy now.
Ele está escrevendo poemas desde hoje de manhã.,He has been writing poems since this morning.
Ele não está disponível.,He is not available.
Parece que ele está muito ocupado hoje.,It seems that he is very busy today.
Ele está em casa hoje.,He is at home today.
Será que ele virá hoje à noite?,I wonder if he'll come tonight.
Ele está almoçando.,He is having lunch.
Ele está lendo um livro.,He is reading a book.
Ele virá esta tarde?,Will he come this evening?
Você deve tomar cuidado para não aborrecê-lo.,You should be careful not to bother him.
Ele machucou a mão esquerda.,He hurt his left hand.
Ele operou a perna esquerda.,He had an operation on his left leg.
Ele quebrou o braço esquerdo.,He broke his left arm.
Ele gosta de beber café sem açúcar.,He likes drinking coffee without sugar.
Ele usa mel em vez de açúcar.,He uses honey instead of sugar.
Ele misturou açúcar com leite.,He mixed sugar with milk.
Ele gosta de café sem açúcar.,He likes coffee without sugar.
É preciso que ele se prepare para o pior.,It is necessary that he prepare for the worst.
Ele foi a última pessoa a chegar.,He was the last person to arrive.
Ele foi o último a chegar.,He was the last person to arrive.
Ele deixou a última página em branco.,He left the last page blank.
Ele deu seu último suspiro.,He breathed his last breath.
Ele vai acabar na cadeia.,He will end up in prison.
"Ao ouvir sobre o nascimento de seu primeiro filho, ele pulou de alegria.","On hearing the news of the birth of his first child, he jumped for joy."
"No começo ele a odiava, mas aos poucos acabou a amando.",At first he hated her but gradually came to love her.
"Ele fez o melhor que pôde, mas fracassou.","He did his best, but failed."
"Perguntou à mulher: ""Você vem comigo?""","He said to his wife ""Are you coming with me""?"
Ele lembrou sua mulher que o acordasse às 7:00 da manhã.,He reminded his wife to wake him up at 7:00 a.m.
Ele escreveu um livro baseado em uma ideia que ele pegou da esposa.,He wrote a book based on an idea which he borrowed from his wife.
Ele estava zangado com a esposa.,He was angry with his wife.
Eu não acho que algum dia ele vai se recuperar da perda de sua esposa.,I do not think he will ever get over the loss of his wife.
Ele está desanimado pela morte da esposa.,He is discouraged over his wife's death.
Ele estava com ciúme da esposa.,He was jealous of his wife.
Ele estava acompanhado de sua mulher.,He was accompanied by his wife.
Será que ele está em casa?,I wonder if he's at home.
Sua carteira foi roubada.,He had his wallet stolen.
Roubaram-lhe a carteira.,He had his wallet stolen.
Ele escreve livros.,He writes books.
Ele chegou atrasado à escola ontem.,He was late for school yesterday.
Ele se cortou com uma faca ontem.,He cut himself with a knife yesterday.
Ele não comeu nada ontem.,He did not eat anything yesterday.
Ele morreu ontem.,He died yesterday.
Ele me levou ao parque ontem.,He took me to the park yesterday.
Ele visitou seu tio ontem.,He visited his uncle yesterday.
Ele estava trabalhando no escritório ontem ao anoitecer.,He was working at the office yesterday evening.
Ele é culpado de assassinato.,He is guilty of murder.
Ele testemunhou o assassinato.,He witnessed the murder.
Ele está dando uma volta.,He is taking a walk.
"Sempre que ele sai para uma caminhada, ele leva o cachorro com ele.","Whenever he goes out for a walk, he takes his dog with him."
Ele era cego de nascença.,He was blind from birth.
Ele suspirou quando o trabalho foi concluído.,He let out a sigh when the job was finished.
Ele está procurando emprego.,He is looking for a job.
Ele mudou de emprego.,He changed his job.
Ele ganha mais dinheiro do que o que pode gastar.,He earns more money than he can spend.
Ela disse que iria visitar Jack com as suas irmãs.,She said that she would visit Jack with her sisters.
Ele deu a seus filhos uma boa formação.,He gave his children a good education.
Ele não cuida de seus filhos.,He does not take care of his children.
Ele sofreu bastante para educar suas crianças.,He took great pains in educating his children.
Ele era severo com os filhos.,He was severe with his children.
Ele alertou as crianças sobre brincar na rua.,He warned the children against playing in the street.
Ele cria gado para o mercado.,He breeds cattle for market.
Ele conhece o prefeito.,He is acquainted with the mayor.
Ele se perdeu em seus pensamentos.,He lost himself in thought.
Ele está a ponto de morrer.,He is on the point of death.
"Em seu leito de morte, ele pediu que eu continuasse a escrever para você.",On his deathbed he asked me to continue writing to you.
Ele vingou o pai morto.,He avenged his dead father.
Ele foi condenado à morte.,He was condemned to death.
Ele tem um carro que eu dei para ele.,He has a car which I gave to him.
Ele disse que eu preciso ir lá.,He said that I must go there.
Ele não consentiu que eu fosse lá.,He could not approve of my going there.
Roubou-me o relógio.,He stole my watch.
Ele roubou o meu relógio.,He stole my watch.
De mim ele ganhou um livro.,He was given a book by me.
Ele mencionou um livro cujo título já não me lembro.,He mentioned a book the title of which I can't remember now.
Ele é a criança mais obstinada que eu já vi.,He is the most obstinate child I have ever seen.
Ele ficou ao meu lado sempre que eu tive problemas.,He stood by me whenever I was in trouble.
Ele me ajudou a carregar a bagagem.,He helped me carry the baggage.
Ele fez o contrário do que eu pedi.,He did the reverse of what I asked.
Ele é mais ou menos do meu tamanho.,He is about my size.
Ele veio à direção oposta a nós.,He went in the opposite direction from us.
Ele nos deu conhecimento útil.,He has given us useful knowledge.
Ele sugeriu que deveríamos ficar.,He suggested to us that we should stay.
Ele nos sugeriu ficar.,He suggested to us that we should stay.
Ele nos ensina inglês.,He teaches us English.
Ele é um professor britânico que nos ensina inglês.,He is a British teacher who teaches us English.
